Detailed Calculation Logs: stability_matrix
Generated at: 20260504_191655
====================================================================================================
method  sparse     p       epsilon  Nx          tol  duration_s  status   nfev  njev   nlu  error_l2
 Radau    True 1.050  1.000000e-14 100 1.000000e-13   11.381894 Success 173326  6638 35684       NaN
 Radau    True 1.050  1.000000e-30 100 1.000000e-13    9.450845 Success 148538  5255 30520       NaN
 Radau    True 1.050  1.000000e-60 100 1.000000e-13    9.475500 Success 148538  5255 30520       NaN
 Radau    True 1.050  1.000000e-90 100 1.000000e-13    9.385048 Success 148538  5255 30520       NaN
 Radau    True 1.050 1.000000e-120 100 1.000000e-13    9.388529 Success 148538  5255 30520       NaN
 Radau    True 1.050 1.000000e-160 100 1.000000e-13    9.492420 Success 148538  5255 30520       NaN
 Radau    True 1.010  1.000000e-14 100 1.000000e-13    0.374836 Success   8383   147  1026       NaN
 Radau    True 1.010  1.000000e-30 100 1.000000e-13    9.617719 Success 156833  4785 32784       NaN
 Radau    True 1.010  1.000000e-60 100 1.000000e-13    9.504982 Success 156833  4785 32784       NaN
 Radau    True 1.010  1.000000e-90 100 1.000000e-13    9.482667 Success 156833  4785 32784       NaN
 Radau    True 1.010 1.000000e-120 100 1.000000e-13    9.530402 Success 156833  4785 32784       NaN
 Radau    True 1.010 1.000000e-160 100 1.000000e-13    9.580321 Success 156833  4785 32784       NaN
 Radau    True 1.005  1.000000e-14 100 1.000000e-13   12.211448 Success 188274  7125 39832       NaN
 Radau    True 1.005  1.000000e-30 100 1.000000e-13    0.285600 Success   6589   109   772       NaN
 Radau    True 1.005  1.000000e-60 100 1.000000e-13    0.285141 Success   6589   109   772       NaN
 Radau    True 1.005  1.000000e-90 100 1.000000e-13    0.285287 Success   6589   109   772       NaN
 Radau    True 1.005 1.000000e-120 100 1.000000e-13    0.284954 Success   6589   109   772       NaN
 Radau    True 1.005 1.000000e-160 100 1.000000e-13    0.285022 Success   6589   109   772       NaN
 Radau    True 1.001  1.000000e-14 100 1.000000e-13   15.672268 Success 242683  9044 51942       NaN
 Radau    True 1.001  1.000000e-30 100 1.000000e-13    0.413981 Success   7261   201  1338       NaN
 Radau    True 1.001  1.000000e-60 100 1.000000e-13    0.412862 Success   7261   201  1338       NaN
 Radau    True 1.001  1.000000e-90 100 1.000000e-13    0.412810 Success   7261   201  1338       NaN
 Radau    True 1.001 1.000000e-120 100 1.000000e-13    0.412472 Success   7261   201  1338       NaN
 Radau    True 1.001 1.000000e-160 100 1.000000e-13    0.413954 Success   7261   201  1338       NaN
====================================================================================================
