Detailed Calculation Logs: work_effort
Generated at: 20260429_144407
====================================================================================================
method sparse   p  epsilon   Nx          tol  duration_s  status   nfev  njev    nlu     error_l2
 LSODA   True 2.5 0.000001 1000 1.000000e-02    0.029619 Success    963   177    177 1.951033e-03
 LSODA   True 2.5 0.000001 1000 1.000000e-04    0.059094 Success   1813   249    249 2.849965e-04
 LSODA   True 2.5 0.000001 1000 1.000000e-06    0.112963 Success   3431   338    338 1.914449e-06
 LSODA   True 2.5 0.000001 1000 1.000000e-08    0.218514 Success   6352   421    421 2.500014e-09
 LSODA   True 2.5 0.000001 1000 1.000000e-10    0.400115 Success  10307   601    601 1.668966e-10
   BDF   True 2.5 0.000001 1000 1.000000e-02    0.686858 Success    980   150    379 2.293696e-03
   BDF   True 2.5 0.000001 1000 1.000000e-04    1.017948 Success   1484   230    465 3.749939e-04
   BDF   True 2.5 0.000001 1000 1.000000e-06    1.938532 Success   3091   444    817 8.216341e-08
   BDF   True 2.5 0.000001 1000 1.000000e-08    4.052643 Success   7494   915   1652 4.156374e-09
   BDF   True 2.5 0.000001 1000 1.000000e-10    6.391321 Success  11018  1518   2040 4.054839e-10
 Radau   True 2.5 0.000001 1000 1.000000e-02  120.274291 Success 448616 18291 132824 8.830294e-06
 Radau   True 2.5 0.000001 1000 1.000000e-04   10.124653 Success  37560  1556  11038 3.321169e-08
 Radau   True 2.5 0.000001 1000 1.000000e-06    4.728474 Success  17674   767   4704 5.393024e-10
 Radau   True 2.5 0.000001 1000 1.000000e-08    6.200229 Success  21814  1130   4850 3.560762e-12
 Radau   True 2.5 0.000001 1000 1.000000e-10    8.646751 Success  29442  1771   4634 1.940892e-13
====================================================================================================
